a 61
uni1E49 1E49
uni1E49.pcap E0E9
uni1E49.smcp E22D
uni1E4A 1E4A
uni1E4B 1E4B
uni1E4B.pcap E0EA
uni1E4B.smcp E22E
uni1E4C 1E4C
uni1E4D 1E4D
uni1E4D.pcap E0EB
uni1E4D.smcp E22F
uni1E4E 1E4E
uni1E4F 1E4F
uni1E4F.pcap E0EC
uni1E4F.smcp E230
uni1E50 1E50
uni1E51 1E51
uni1E51.pcap E0ED
uni1E51.smcp E231
uni1E52 1E52
uni1E53 1E53
uni1E53.pcap E0EE
uni1E53.smcp E232
uni1E54 1E54
uni1E55 1E55
uni1E55.pcap E0EF
uni1E55.smcp E233
uni1E56 1E56
uni1E57 1E57
uni1E57.pcap E0F0
uni1E57.smcp E234
uni1E58 1E58
uni1E59 1E59
uni1E59.pcap E0F1
uni1E59.smcp E235
uni1E5A 1E5A
uni1E5B 1E5B
uni1E5B.pcap E0F2
uni1E5B.smcp E236
uni1E5C 1E5C
uni1E5D 1E5D
uni1E5D.pcap E0F3
uni1E5D.smcp E237
uni1E5E 1E5E
uni1E5F 1E5F
uni1E5F.pcap E0F4
uni1E5F.smcp E238
uni1E60 1E60
uni1E61 1E61
uni1E61.pcap E0F5
uni1E61.smcp E239
uni1E62 1E62
uni1E63 1E63
uni1E63.pcap E0F6
uni1E63.smcp E23A
uni1E64 1E64
uni1E65 1E65
uni1E65.pcap E0F7
uni1E65.smcp E23B
uni1E66 1E66
uni1E67 1E67
uni1E67.pcap E0F8
uni1E67.smcp E23C
uni1E68 1E68
uni1E69 1E69
uni1E69.pcap E0F9
uni1E69.smcp E23D
uni1E6A 1E6A
uni1E6B 1E6B
uni1E6B.pcap E0FA
uni1E6B.smcp E23E
uni1E6C 1E6C
uni1E6D 1E6D
uni1E6D.pcap E0FB
uni1E6D.smcp E23F
uni1E6E 1E6E
uni1E6F 1E6F
uni1E6F.pcap E0FC
uni1E6F.smcp E240
uni1E70 1E70
uni1E71 1E71
uni1E71.pcap E0FD
uni1E71.smcp E241
uni1E72 1E72
uni1E73 1E73
uni1E73.pcap E0FE
uni1E73.smcp E242
uni1E74 1E74
uni1E75 1E75
uni1E75.pcap E0FF
uni1E75.smcp E243
uni1E76 1E76
uni1E77 1E77
uni1E77.pcap E100
uni1E77.smcp E244
uni1E78 1E78
uni1E79 1E79
uni1E79.pcap E101
uni1E79.smcp E245
uni1E7A 1E7A
uni1E7B 1E7B
uni1E7B.pcap E102
uni1E7B.smcp E246
uni1E7C 1E7C
uni1E7D 1E7D
uni1E7D.pcap E103
uni1E7D.smcp E247
uni1E7E 1E7E
uni1E7F 1E7F
uni1E7F.pcap E104
uni1E7F.smcp E248
uni1E81.pcap E105
uni1E81.smcp E249
uni1E83.pcap E106
uni1E83.smcp E24A
uni1E85.pcap E107
uni1E85.smcp E24B
uni1E86 1E86
uni1E87 1E87
uni1E87.pcap E108
uni1E87.smcp E24C
uni1E88 1E88
uni1E89 1E89
uni1E89.pcap E109
uni1E89.smcp E24D
uni1E8A 1E8A
uni1E8B 1E8B
uni1E8B.pcap E10A
uni1E8B.smcp E24E
uni1E8C 1E8C
uni1E8D 1E8D
uni1E8D.pcap E10B
uni1E8D.smcp E24F
uni1E8E 1E8E
uni1E8F 1E8F
uni1E8F.pcap E10C
uni1E8F.smcp E250
uni1E90 1E90
uni1E91 1E91
uni1E91.pcap E10D
uni1E91.smcp E251
uni1E92 1E92
uni1E93 1E93
uni1E93.pcap E10E
uni1E93.smcp E252
uni1E94 1E94
uni1E95 1E95
uni1E95.pcap E10F
uni1E95.smcp E253
uni1E96 1E96
uni1E96.pcap E110
uni1E96.smcp E254
uni1E97 1E97
uni1E97.pcap E111
uni1E97.smcp E255
uni1E98 1E98
uni1E98.pcap E112
uni1E98.smcp E256
uni1E99 1E99
uni1E99.pcap E113
uni1E99.smcp E257
uni1E9A 1E9A
uni1E9B 1E9B
uni1E9C 1E9C
uni1E9D 1E9D
uni1E9E 1E9E
uni1E9E.pcap E114
uni1E9E.smcp E258
uni1E9F 1E9F
uni1EA0 1EA0
uni1EA1 1EA1
uni1EA1.pcap E115
uni1EA1.smcp E259
uni1EA2 1EA2
uni1EA3 1EA3
uni1EA3.pcap E116
uni1EA3.smcp E25A
uni1EA4 1EA4
uni1EA5 1EA5
uni1EA5.pcap E117
uni1EA5.smcp E25B
uni1EA6 1EA6
uni1EA7 1EA7
uni1EA7.pcap E118
uni1EA7.smcp E25C
uni1EA8 1EA8
uni1EA9 1EA9
uni1EA9.pcap E119
uni1EA9.smcp E25D
uni1EAA 1EAA
uni1EAB 1EAB
uni1EAB.pcap E11A
uni1EAB.smcp E25E
uni1EAC 1EAC
uni1EAD 1EAD
uni1EAD.pcap E11B
uni1EAD.smcp E25F
uni1EAE 1EAE
uni1EAF 1EAF
uni1EAF.pcap E11C
uni1EAF.smcp E260
uni1EB0 1EB0
uni1EB1 1EB1
uni1EB1.pcap E11D
uni1EB1.smcp E261
uni1EB2 1EB2
uni1EB3 1EB3
uni1EB3.pcap E11E
uni1EB3.smcp E262
uni1EB4 1EB4
uni1EB5 1EB5
uni1EB5.pcap E11F
uni1EB5.smcp E263
uni1EB6 1EB6
uni1EB7 1EB7
uni1EB7.pcap E120
uni1EB7.smcp E264
uni1EB8 1EB8
uni1EB9 1EB9
uni1EB9.pcap E121
uni1EB9.smcp E265
uni1EBA 1EBA
uni1EBB 1EBB
uni1EBB.pcap E122
uni1EBB.smcp E266
uni1EBC 1EBC
uni1EBD 1EBD
uni1EBD.pcap E123
uni1EBD.smcp E267
uni1EBE 1EBE
uni1EBF 1EBF
uni1EBF.pcap E124
uni1EBF.smcp E268
uni1EC0 1EC0
uni1EC1 1EC1
uni1EC1.pcap E125
uni1EC1.smcp E269
uni1EC2 1EC2
uni1EC3 1EC3
uni1EC3.pcap E126
uni1EC3.smcp E26A
uni1EC4 1EC4
uni1EC5 1EC5
uni1EC5.pcap E127
uni1EC5.smcp E26B
uni1EC6 1EC6
uni1EC7 1EC7
uni1EC7.pcap E128
uni1EC7.smcp E26C
uni1EC8 1EC8
uni1EC9 1EC9
uni1EC9.pcap E129
uni1EC9.smcp E26D
uni1ECA 1ECA
uni1ECB 1ECB
uni1ECB.pcap E12A
uni1ECB.smcp E26E
uni1ECC 1ECC
uni1ECD 1ECD
uni1ECD.pcap E12B
uni1ECD.smcp E26F
uni1ECE 1ECE
uni1ECF 1ECF
uni1ECF.pcap E12C
uni1ECF.smcp E270
uni1ED0 1ED0
uni1ED1 1ED1
uni1ED1.pcap E12D
uni1ED1.smcp E271
uni1ED2 1ED2
uni1ED3 1ED3
uni1ED3.pcap E12E
uni1ED3.smcp E272
uni1ED4 1ED4
uni1ED5 1ED5
uni1ED5.pcap E12F
uni1ED5.smcp E273
uni1ED6 1ED6
uni1ED7 1ED7
uni1ED7.pcap E130
uni1ED7.smcp E274
uni1ED8 1ED8
uni1ED9 1ED9
uni1ED9.pcap E131
uni1ED9.smcp E275
uni1EDA 1EDA
uni1EDB 1EDB
uni1EDB.pcap E132
uni1EDB.smcp E276
uni1EDC 1EDC
uni1EDD 1EDD
uni1EDD.pcap E133
uni1EDD.smcp E277
uni1EDE 1EDE
uni1EDF 1EDF
uni1EDF.pcap E134
uni1EDF.smcp E278
uni1EE0 1EE0
uni1EE1 1EE1
uni1EE1.pcap E135
uni1EE1.smcp E279
uni1EE2 1EE2
uni1EE3 1EE3
uni1EE3.pcap E136
uni1EE3.smcp E27A
uni1EE4 1EE4
uni1EE5 1EE5
uni1EE5.pcap E137
uni1EE5.smcp E27B
uni1EE6 1EE6
uni1EE7 1EE7
uni1EE7.pcap E138
uni1EE7.smcp E27C
uni1EE8 1EE8
uni1EE9 1EE9
uni1EE9.pcap E139
uni1EE9.smcp E27D
uni1EEA 1EEA
uni1EEB 1EEB
uni1EEB.pcap E13A
uni1EEB.smcp E27E
uni1EEC 1EEC
uni1EED 1EED
uni1EED.pcap E13B
uni1EED.smcp E27F
uni1EEE 1EEE
uni1EEF 1EEF
uni1EEF.pcap E13C
uni1EEF.smcp E280
uni1EF0 1EF0
uni1EF1 1EF1
uni1EF1.pcap E13D
uni1EF1.smcp E281
uni1EF3.pcap E13E
uni1EF3.smcp E282
uni1EF4 1EF4
uni1EF5 1EF5
uni1EF5.pcap E13F
uni1EF5.smcp E283
uni1EF6 1EF6
uni1EF7 1EF7
uni1EF7.pcap E140
uni1EF7.smcp E284
uni1EF8 1EF8
uni1EF9 1EF9
uni1EF9.pcap E141
uni1EF9.smcp E285
uni1EFA 1EFA
uni1EFB 1EFB
uni1EFB.pcap E142
uni1EFB.smcp E286
uni1EFC 1EFC
uni1EFD 1EFD
uni1EFD.smcp E288
uni1EFE 1EFE
uni1EFF 1EFF
uni1F00 1F00
uni1F01 1F01
uni1F02 1F02
uni1F03 1F03
uni1F04 1F04
uni1F05 1F05
uni1F06 1F06
uni1F07 1F07
uni1F08 1F08
uni1F09 1F09
uni1F0A 1F0A
uni1F0B 1F0B
uni1F0C 1F0C
uni1F0D 1F0D
uni1F0E 1F0E
uni1F0F 1F0F
uni1F10 1F10
uni1F11 1F11
uni1F12 1F12
uni1F13 1F13
uni1F14 1F14
uni1F15 1F15
uni1F18 1F18
uni1F19 1F19
uni1F1A 1F1A
uni1F1B 1F1B
uni1F1C 1F1C
uni1F1D 1F1D
uni1F20 1F20
uni1F21 1F21
uni1F22 1F22
uni1F23 1F23
uni1F24 1F24
uni1F25 1F25
uni1F26 1F26
uni1F27 1F27
uni1F28 1F28
uni1F29 1F29
uni1F2A 1F2A
uni1F2B 1F2B
uni1F2C 1F2C
uni1F2D 1F2D
uni1F2E 1F2E
uni1F2F 1F2F
uni1F30 1F30
uni1F31 1F31
uni1F32 1F32
uni1F33 1F33
uni1F34 1F34
uni1F35 1F35
uni1F36 1F36
uni1F37 1F37
uni1F38 1F38
uni1F39 1F39
uni1F3A 1F3A
uni1F3B 1F3B
uni1F3C 1F3C
uni1F3D 1F3D
uni1F3E 1F3E
uni1F3F 1F3F
uni1F40 1F40
uni1F41 1F41
uni1F42 1F42
uni1F43 1F43
uni1F44 1F44
uni1F45 1F45
uni1F48 1F48
uni1F49 1F49
uni1F4A 1F4A
uni1F4B 1F4B
uni1F4C 1F4C
uni1F4D 1F4D
uni1F50 1F50
uni1F51 1F51
uni1F52 1F52
uni1F53 1F53
uni1F54 1F54
uni1F55 1F55
uni1F56 1F56
uni1F57 1F57
uni1F59 1F59
uni1F5B 1F5B
uni1F5D 1F5D
uni1F5F 1F5F
uni1F60 1F60
uni1F61 1F61
uni1F62 1F62
uni1F63 1F63
uni1F64 1F64
uni1F65 1F65
uni1F66 1F66
uni1F67 1F67
uni1F68 1F68
uni1F69 1F69
uni1F6A 1F6A
uni1F6B 1F6B
uni1F6C 1F6C
uni1F6D 1F6D
uni1F6E 1F6E
uni1F6F 1F6F
uni1F70 1F70
uni1F71 1F71
uni1F72 1F72
uni1F73 1F73
uni1F74 1F74
uni1F75 1F75
uni1F76 1F76
uni1F77 1F77
uni1F78 1F78
uni1F79 1F79
uni1F7A 1F7A
uni1F7B 1F7B
uni1F7C 1F7C
uni1F7D 1F7D
uni1F80 1F80
uni1F81 1F81
uni1F82 1F82
uni1F83 1F83
uni1F84 1F84
uni1F85 1F85
uni1F86 1F86
uni1F87 1F87
uni1F88 1F88
uni1F89 1F89
uni1F8A 1F8A
uni1F8B 1F8B
uni1F8C 1F8C
uni1F8D 1F8D
uni1F8E 1F8E
uni1F8F 1F8F
uni1F90 1F90
uni1F91 1F91
uni1F92 1F92
uni1F93 1F93
uni1F94 1F94
uni1F95 1F95
uni1F96 1F96
uni1F97 1F97
uni1F98 1F98
uni1F99 1F99
uni1F9A 1F9A
uni1F9B 1F9B
uni1F9C 1F9C
uni1F9D 1F9D
uni1F9E 1F9E
uni1F9F 1F9F
uni1FA0 1FA0
uni1FA1 1FA1
uni1FA2 1FA2
uni1FA3 1FA3
uni1FA4 1FA4
uni1FA5 1FA5
uni1FA6 1FA6
uni1FA7 1FA7
uni1FA8 1FA8
uni1FA9 1FA9
uni1FAA 1FAA
uni1FAB 1FAB
uni1FAC 1FAC
uni1FAD 1FAD
uni1FAE 1FAE
uni1FAF 1FAF
uni1FB0 1FB0
uni1FB1 1FB1
uni1FB2 1FB2
uni1FB3 1FB3
uni1FB4 1FB4
uni1FB6 1FB6
uni1FB7 1FB7
uni1FB8 1FB8
uni1FB9 1FB9
uni1FBA 1FBA
uni1FBB 1FBB
uni1FBC 1FBC
uni1FBD 1FBD
uni1FBE 1FBE
uni1FBF 1FBF
uni1FC0 1FC0
uni1FC1 1FC1
uni1FC2 1FC2
uni1FC3 1FC3
uni1FC4 1FC4
uni1FC6 1FC6
uni1FC7 1FC7
uni1FC8 1FC8
uni1FC9 1FC9
uni1FCA 1FCA
uni1FCB 1FCB
uni1FCC 1FCC
uni1FCD 1FCD
uni1FCE 1FCE
uni1FCF 1FCF
uni1FD0 1FD0
uni1FD1 1FD1
uni1FD2 1FD2
uni1FD3 1FD3
uni1FD6 1FD6
uni1FD7 1FD7
uni1FD8 1FD8
uni1FD9 1FD9
uni1FDA 1FDA
uni1FDB 1FDB
uni1FDD 1FDD
uni1FDE 1FDE
uni1FDF 1FDF
uni1FE0 1FE0
uni1FE1 1FE1
uni1FE2 1FE2
uni1FE3 1FE3
uni1FE4 1FE4
uni1FE5 1FE5
uni1FE6 1FE6
uni1FE7 1FE7
uni1FE8 1FE8
uni1FE9 1FE9
uni1FEA 1FEA
uni1FEB 1FEB
uni1FEC 1FEC
uni1FED 1FED
uni1FEE 1FEE
uni1FEF 1FEF
uni1FF2 1FF2
uni1FF3 1FF3
uni1FF4 1FF4
uni1FF6 1FF6
uni1FF7 1FF7
uni1FF8 1FF8
uni1FF9 1FF9
uni1FFA 1FFA
uni1FFB 1FFB
uni1FFC 1FFC
uni1FFD 1FFD
uni1FFE 1FFE
uni2000 2000
uni2001 2001
uni2002 2002
uni2003 2003
uni2004 2004
uni2005 2005
uni2006 2006
uni2007 2007
uni2008 2008
uni2009 2009
uni200A 200A
uni200B 200B
uni2010 2010
uni2011 2011
uni2016 2016
uni201F 201F
uni2023 2023
uni2027 2027
uni202F 202F
uni2031 2031
uni2034 2034
uni2035 2035
uni2036 2036
uni2037 2037
uni203B 203B
uni203D 203D
uni203E 203E
uni2042 2042
uni2043 2043
uni2047 2047
uni2048 2048
uni2049 2049
uni204B 204B
uni204E 204E
uni2051 2051
uni2053 2053
uni2055 2055
uni2056 2056
uni2057 2057
uni2058 2058
uni2059 2059
uni205A 205A
uni205B 205B
uni205C 205C
uni205D 205D
uni205E 205E
uni2070.alt E438
uni2070 2070
uni2074 2074
uni2075 2075
uni2076 2076
uni2077 2077
uni2078 2078
uni2079 2079
uni207F 207F
uni2080.alt E439
uni2080 2080
uni2081 2081
uni2082 2082
uni2083 2083
uni2084 2084
uni2085 2085
uni2086 2086
uni2087 2087
uni2088 2088
uni2089 2089
uni20B9 20B9
uni20BF 20BF
uni211F 211F
uni2123 2123
uni2127 2127
uni2150 2150
uni2151 2151
uni2152.alt E44F
uni2152 2152
uni2155 2155
uni2156 2156
uni2157 2157
uni2158 2158
uni2159 2159
uni215A 215A
uni215F 215F
uni2189.alt E450
uni2189 2189
uni2196 2196
uni2197 2197
uni2198 2198
uni2199 2199
uni2215 2215
uni2219 2219
uni221B 221B
uni221C 221C
uni2223 2223
uni2224 2224
uni2225 2225
uni2226 2226
uni222C 222C
uni222D 222D
uni2235 2235
uni2242 2242
uni2243 2243
uni2244 2244
uni2249 2249
uni22C4 22C4
uni22C6 22C6
uni2303 2303
uni2304 2304
uni25B3 25B3
uni25BD 25BD
uni25D0 25D0
uni25D1 25D1
uni2605 2605
uni2606 2606
uni2609 2609
uni260A 260A
uni260B 260B
uni260C 260C
uni260D 260D
uni2619 2619
uni261C 261C
uni261E 261E
uni2630 2630
uni2631 2631
uni2632 2632
uni2633 2633
uni2634 2634
uni2635 2635
uni2636 2636
uni2637 2637
uni263D 263D
uni263E 263E
uni263F 263F
uni2641 2641
uni2643 2643
uni2644 2644
uni2645 2645
uni2646 2646
uni2647 2647
uni2648 2648
uni2649 2649
uni264A 264A
uni264B 264B
uni264C 264C
uni264D 264D
uni264E 264E
uni264F 264F
uni2650 2650
uni2651 2651
uni2652 2652
uni2653 2653
uni2661 2661
uni2662 2662
uni266D 266D
uni266E 266E
uni266F 266F
uni268A 268A
uni268B 268B
uni268C 268C
uni268D 268D
uni268E 268E
uni268F 268F
uni26A2 26A2
uni26A3 26A3
uni26A4 26A4
uni26A5 26A5
uni26A6 26A6
uni26A7 26A7
uni26A8 26A8
uni26A9 26A9
uni26AA 26AA
uni26AB 26AB
uni26B2 26B2
uni26B3 26B3
uni26B5 26B5
uni26B7 26B7
uni26B8 26B8
uni26B9 26B9
uni26BA 26BA
uni26BB 26BB
uni26BC 26BC
uni26E2 26E2
uni26E4 26E4
uni26E5 26E5
uni26E6 26E6
uni26E7 26E7
uni271A 271A
uni271B 271B
uni271C 271C
uni271D 271D
uni2720 2720
uni2721 2721
uni272F 272F
uni273F 273F
uni2740 2740
uni2767 2767
uni27E6 27E6
uni27E7 27E7
uni2B24 2B24
uni2C6D 2C6D
uni4DC0 4DC0
uni4DC1 4DC1
uni4DC2 4DC2
uni4DC3 4DC3
uni4DC4 4DC4
uni4DC5 4DC5
uni4DC6 4DC6
uni4DC7 4DC7
uni4DC8 4DC8
uni4DC9 4DC9
uni4DCA 4DCA
uni4DCB 4DCB
uni4DCC 4DCC
uni4DCD 4DCD
uni4DCE 4DCE
uni4DCF 4DCF
uni4DD0 4DD0
uni4DD1 4DD1
uni4DD2 4DD2
uni4DD3 4DD3
uni4DD4 4DD4
uni4DD5 4DD5
uni4DD6 4DD6
uni4DD7 4DD7
uni4DD8 4DD8
uni4DD9 4DD9
uni4DDA 4DDA
uni4DDB 4DDB
uni4DDC 4DDC
uni4DDD 4DDD
uni4DDE 4DDE
uni4DDF 4DDF
uni4DE0 4DE0
uni4DE1 4DE1
uni4DE2 4DE2
uni4DE3 4DE3
uni4DE4 4DE4
uni4DE5 4DE5
uni4DE6 4DE6
uni4DE7 4DE7
uni4DE8 4DE8
uni4DE9 4DE9
uni4DEA 4DEA
uni4DEB 4DEB
uni4DEC 4DEC
uni4DED 4DED
uni4DEE 4DEE
uni4DEF 4DEF
uni4DF0 4DF0
uni4DF1 4DF1
uni4DF2 4DF2
uni4DF3 4DF3
uni4DF4 4DF4
uni4DF5 4DF5
uni4DF6 4DF6
uni4DF7 4DF7
uni4DF8 4DF8
uni4DF9 4DF9
uni4DFA 4DFA
uni4DFB 4DFB
uni4DFC 4DFC
uni4DFD 4DFD
uni4DFE 4DFE
uni4DFF 4DFF
uniE000 E000
uniE001 E001
uniE002 E002
uniE0C4 E0C4
uniE208 E208
uniE2B7 E2B7
uniE2B8 E2B8
uniE2B9 E2B9
uniE2BA E2BA
uniE2BB E2BB
uniE2BC E2BC
uniE2BD E2BD
uniE2BE E2BE
uniE2BF E2BF
uniE2C0 E2C0
uniE2C1 E2C1
uniE2C2 E2C2
uniE2C3 E2C3
uniE2C4 E2C4
uniE2C5 E2C5
uniE2C6 E2C6
uniE2C7 E2C7
uniE2C8 E2C8
uniE2C9 E2C9
uniE2CA E2CA
uniE2CB E2CB
uniE2CC E2CC
uniE2E9 E2E9
uniE2EA E2EA
uniE2EB E2EB
uniE2EC E2EC
uniE2ED E2ED
uniE2EE E2EE
uniE2EF E2EF
uniE2F0 E2F0
uniE2F1 E2F1
uniE2F2 E2F2
uniE2F3 E2F3
uniE2F4 E2F4
uniE2F5 E2F5
uniE2F6 E2F6
uniE2F7 E2F7
uniE2F8 E2F8
uniE2F9 E2F9
uniE2FA E2FA
uniE2FB E2FB
uniE2FC E2FC
uniE2FD E2FD
uniE2FE E2FE
uniE314 E314
uniE315 E315
uniE316 E316
uniE460 E460
uniE461 E461
uniE462 E462
uniE463 E463
uniE464 E464
uniE465 E465
uniE466 E466
uniE467 E467
uniE468 E468
uniE469 E469
uniE46A E46A
uniE46B E46B
uniE46C E46C
uniE46D E46D
uniE46E E46E
uniE46F E46F
uniE470 E470
uniE471 E471
uniE472 E472
uniE473 E473
uniE474 E474
uniE475 E475
uniE476 E476
uniE477 E477
uniE478 E478
uniE479 E479
uniE47A E47A
uniE47B E47B
uniE47C E47C
uniE47D E47D
uniE47E E47E
uniE47F E47F
uniE480 E480
uniE481 E481
uniE482 E482
uniE483 E483
uniE484 E484
uniE485 E485
uniE486 E486
uniE487 E487
uniE488 E488
uniE489 E489
uniE48A E48A
uniE48B E48B
uniE48C E48C
uniE48D E48D
uniE48E E48E
uniE48F E48F
uniE490 E490
uniE491 E491
uniE492 E492
uniE493 E493
uniE494 E494
uniE495 E495
uniF580 F580
uniF581 F581
uniF582 F582
uniF583 F583
uniF584 F584
uniF585 F585
uniF586 F586
uniF587 F587
uniF588 F588
uniF589 F589
uniF58A F58A
uniF58B F58B
uniF58C F58C
uniF58D F58D
uniF58E F58E
uniF58F F58F
uniF590 F590
uniF591 F591
uniF592 F592
uniF593 F593
uniF594 F594
uniF595 F595
uniF596 F596
uniFB00.alt E309
uniFB00 FB00
uniFB01 FB01
uniFB02 FB02
uniFB03 FB03
uniFB04 FB04
uniFB1D FB1D
uniFB1E FB1E
uniFB1F FB1F
uniFB20 FB20
uniFB21 FB21
uniFB22 FB22
uniFB23 FB23
uniFB24 FB24
uniFB25 FB25
uniFB26 FB26
uniFB27 FB27
uniFB28 FB28
uniFB29 FB29
uniFB2A FB2A
uniFB2B FB2B
uniFB2C FB2C
uniFB2D FB2D
uniFB2E FB2E
uniFB2F FB2F
uniFB30 FB30
uniFB31 FB31
uniFB32 FB32
uniFB33 FB33
uniFB34 FB34
uniFB35 FB35
uniFB36 FB36
uniFB38 FB38
uniFB39 FB39
uniFB3A FB3A
uniFB3B FB3B
uniFB3C FB3C
uniFB3E FB3E
uniFB40 FB40
uniFB41 FB41
uniFB43 FB43
uniFB44 FB44
uniFB46 FB46
uniFB47 FB47
uniFB48 FB48
uniFB49 FB49
uniFB4A FB4A
uniFB4B FB4B
uniFB4C FB4C
uniFB4D FB4D
uniFB4E FB4E
uniFB4F FB4F
union 222A
uogonek 173
uogonek.pcap E073
uogonek.smcp E1B7
upsilon 3C5
upsilon.pcap E0BF
upsilon.smcp E203
upsilondieresis 3CB
upsilondieresis.pcap E0C3
upsilondieresis.smcp E207
upsilondieresistonos 3B0
upsilontonos 3CD
uring 16F
uring.pcap E071
uring.smcp E1B5
utilde 169
utilde.pcap E06E
utilde.smcp E1B2
v 76
v.pcap E018
v.smcp E15C
w 77
w.pcap E019
w.smcp E15D
wacute 1E83
wcircumflex 175
wcircumflex.pcap E074
wcircumflex.smcp E1B8
wdieresis 1E85
wgrave 1E81
x 78
x.pcap E01A
x.smcp E15E
xi 3BE
xi.pcap E0BC
xi.smcp E200
y 79
y.pcap E01B
y.smcp E15F
yacute FD
yacute.pcap E039
yacute.smcp E17D
ycircumflex 177
ycircumflex.pcap E075
ycircumflex.smcp E1B9
ydieresis FF
ydieresis.pcap E076
ydieresis.smcp E1BA
yen A5
ygrave 1EF3
z 7A
z.pcap E01C
z.smcp E160
zacute 17A
zacute.pcap E077
zacute.smcp E1BB
zcaron 17E
zcaron.pcap E079
zcaron.smcp E1BD
zdotaccent 17C
zdotaccent.pcap E078
zdotaccent.smcp E1BC
zero.alt E434
zero.denom E41E
zero.denomalt E43B
zero 30
zero.numerator E428
zero.numeratoralt E43A
zero.proportionallining E414
zero.proportionalliningalt E435
zero.small E453
zero.smaller E3F6
zero.tabularlining E40A
zero.tabularliningalt E437
zero.tabulartext E400
zero.tabulartextalt E436
zerothirds.afrc E44E
zerothirds.afrcalt E452
zeta 3B6
zkreska E292
zkreska.pcap E29C
zkreska.smcp E2A1
A 41
Aacute C1
Abreve 102
Acircumflex C2
Acute E2A2
Adieresis C4
Agrave C0
Alpha 391
Alphatonos 386
Amacron 100
Aogonek 104
Aring C5
Aringacute 1FA
Atilde C3
AE C6
AEacute 1FC
B 42
Beta 392
Breve.cyrillic E2E7
Breve E2A7
C 43
Cacute 106
Caron E2AC
Ccaron 10C
Ccedilla C7
Ccircumflex 108
Cdotaccent 10A
Cedillafloating E2E5
Chi 3A7
Circumflex E2A4
Ckreska E293
Cyrillicdescender E2E8
D 44
Dcaron 10E
Dcroat 110
Delta 394
Dotaccent E2A9
Dotbelowcomb E2AF
E 45
Eacute C9
Ebreve 114
Ecaron 11A
Ecircumflex CA
Edieresis CB
Edotaccent 116
Egrave C8
Emacron 112
Eng.alt E310
Eng.alt2 E311
Eng.alt3 E312
Eng 14A
Eogonek 118
Epsilon 395
Epsilontonos 388
Eta 397
Etatonos 389
Eth.alt E313
Eth D0
Euro 20AC
F 46
G 47
Gamma 393
Gbreve 11E
Gcaron 1E6
Gcircumflex 11C
Gcommaaccent 122
Gdotaccent 120
Grave E2A3
H 48
H18533 25CF
Hbar 126
Hcircumflex 124
Hookabovecomb E2B5
I 49
Iacute CD
Ibreve 12C
Icircumflex CE
Idieresis CF
Idotaccent 130
Igrave CC
Imacron 12A
Iogonek 12E
Iota 399
Iotadieresis 3AA
Iotatonos 38A
Itilde 128
IJ 132
J 4A
Jcircumflex 134
K 4B
Kappa 39A
Kcommaaccent 136
Kreska E28D
L 4C
Lacute 139
Lambda 39B
Lcaron 13D
Lcommaaccent 13B
Ldot 13F
Lslash 141
M 4D
Macron E2A5
Mu 39C
N 4E
Nacute 143
NameMe.65711 E500
NameMe.ampersand 10002
NameMe.exclam 10001
NameMe.exclamdown 10004
NameMe.question 10000
NameMe.questiondown 10003
Ncaron 147
Ncommaaccent 145
Nkreska E294
Ntilde D1
Nu 39D
O 4F
Oacute D3
Obreve 14E
Ocircumflex D4
Odieresis D6
Ograve D2
Ohorn 1A0
Ohungarumlaut 150
Okreska E295
Omacron 14C
Omega 3A9
Omegatonos 38F
Omicron 39F
Omicrontonos 38C
Oslash D8
Oslashacute 1FE
Otilde D5
OE 152
P 50
Phi 3A6
Pi 3A0
Psi 3A8
Q.alt E304
Q 51
R.alt E305
R 52
Racute 154
Rcaron 158
Rcommaaccent 156
Rho 3A1
Ring E2AA
S 53
Sacute 15A
Scaron 160
Scedilla 15E
Scircumflex 15C
Scommaaccent 218
Sigma 3A3
Skreska E296
T 54
Tau 3A4
Tbar 166
Tcaron 164
Tcommaaccent 162
Theta 398
Thorn DE
Tilde E2A6
U 55
Uacute DA
Ubreve 16C
Ucircumflex DB
Udieresis DC
Ugrave D9
Uhorn 1AF
Uhungarumlaut 170
Umacron 16A
Uni0308 E2A8
Uni030B E2AB
Uni030F E2B2
Uni031B E2B6
Uni0324 E2B0
Uni0325 E2B1
Uni0327 E2AE
Uni0328 E2AD
Uni0335 E2B3
Uni0336 E2B4
Uogonek 172
Upsilon 3A5
Upsilon1 3D2
Upsilondieresis 3AB
Upsilontonos 38E
Uring 16E
Utilde 168
V 56
W 57
Wacute 1E82
Wcircumflex 174
Wdieresis 1E84
Wgrave 1E80
X 58
Xi 39E
Y 59
Yacute DD
Ycircumflex 176
Ydieresis 178
Ygrave 1EF2
Z 5A
Zacute 179
Zcaron 17D
Zdotaccent 17B
Zeta 396
Zkreska E297
